Date : 2022-10-14 14:38:12
Directory : c:\HAMRANDROID\hamr-android\hamr
Total : 103 files,  37718 codes, 940 comments, 2763 blanks, all 41421 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| c:\HAMRANDROID\hamr-android\hamr\components\inventory\spotCheck.js                          | JavaScript      |        179 |          1 |         38 |        218 |
| c:\HAMRANDROID\hamr-android\hamr\components\mainPage\home.js                                | JavaScript      |        275 |         10 |         42 |        327 |
| c:\HAMRANDROID\hamr-android\hamr\components\marketOrder\itemDetails.js                      | JavaScript      |        652 |         19 |         96 |        767 |
| c:\HAMRANDROID\hamr-android\hamr\components\marketOrder\marketOrder.js                      | JavaScript      |         43 |          0 |         12 |         55 |
| c:\HAMRANDROID\hamr-android\hamr\components\marketOrder\orderInfo.js                        | JavaScript      |        208 |          1 |         24 |        233 |
| c:\HAMRANDROID\hamr-android\hamr\components\marketOrder\orderReviewMarketOrder.js           | JavaScript      |        297 |          5 |         62 |        364 |
| c:\HAMRANDROID\hamr-android\hamr\components\marketOrder\quickEntry.js                       | JavaScript      |        548 |         17 |         99 |        664 |
| c:\HAMRANDROID\hamr-android\hamr\components\misc\Images.js                                  | JavaScript      |         45 |          0 |          8 |         53 |
| c:\HAMRANDROID\hamr-android\hamr\components\misc\data.js                                    | JavaScript      |        228 |         62 |         86 |        376 |
| c:\HAMRANDROID\hamr-android\hamr\components\misc\database.js                                | JavaScript      |         54 |          0 |         12 |         66 |
| c:\HAMRANDROID\hamr-android\hamr\components\misc\editFactor.js                              | JavaScript      |         78 |          2 |         21 |        101 |
| c:\HAMRANDROID\hamr-android\hamr\components\misc\itemStatus.js                              | JavaScript      |         11 |          1 |          4 |         16 |
| c:\HAMRANDROID\hamr-android\hamr\components\misc\nativeData.js                              | JavaScript      |        272 |          5 |         29 |        306 |
| c:\HAMRANDROID\hamr-android\hamr\components\misc\scanning.js                                | JavaScript      |         50 |          2 |         10 |         62 |
| c:\HAMRANDROID\hamr-android\hamr\components\misc\sort.js                                    | JavaScript      |         21 |          0 |          8 |         29 |
| c:\HAMRANDROID\hamr-android\hamr\components\printing\bluetooth.js                           | JavaScript      |         92 |          0 |         10 |        102 |
| c:\HAMRANDROID\hamr-android\hamr\components\printing\labels.js                              | JavaScript      |         88 |          0 |         19 |        107 |
| c:\HAMRANDROID\hamr-android\hamr\components\printing\printerConfig.js                       | JavaScript      |         63 |          0 |         13 |         76 |
| c:\HAMRANDROID\hamr-android\hamr\components\printing\shelfLabel.js                          | JavaScript      |         99 |         67 |         38 |        204 |
| c:\HAMRANDROID\hamr-android\hamr\components\printing\upcLabel.js                            | JavaScript      |         83 |         57 |         32 |        172 |
| c:\HAMRANDROID\hamr-android\hamr\components\search\itemDetailsSearch.js                     | JavaScript      |        677 |         40 |        112 |        829 |
| c:\HAMRANDROID\hamr-android\hamr\components\search\order.js                                 | JavaScript      |        893 |         22 |        148 |      1,063 |
| c:\HAMRANDROID\hamr-android\hamr\components\search\search.js                                | JavaScript      |        854 |         72 |        140 |      1,066 |
| c:\HAMRANDROID\hamr-android\hamr\components\search\searchResults.js                         | JavaScript      |        395 |         21 |         66 |        482 |
| c:\HAMRANDROID\hamr-android\hamr\components\search\searchReviewOrder.js                     | JavaScript      |        434 |         20 |         72 |        526 |
| c:\HAMRANDROID\hamr-android\hamr\components\settings\generalSettings.js                     | JavaScript      |        442 |          8 |         62 |        512 |
| c:\HAMRANDROID\hamr-android\hamr\components\settings\printSettings.js                       | JavaScript      |        241 |          1 |         47 |        289 |
| c:\HAMRANDROID\hamr-android\hamr\components\settings\settings.js                            | JavaScript      |        244 |          6 |         53 |        303 |
| c:\HAMRANDROID\hamr-android\hamr\components\settings\settingsRouter.js                      | JavaScript      |         47 |          9 |          8 |         64 |
| c:\HAMRANDROID\hamr-android\hamr\components\sync\sync.js                                    | JavaScript      |        587 |         19 |         81 |        687 |
| c:\HAMRANDROID\hamr-android\hamr\components\~handMade\alphabetPicker.js                     | JavaScript      |        193 |          2 |         39 |        234 |
| c:\HAMRANDROID\hamr-android\hamr\components\~handMade\deleteModal.js                        | JavaScript      |         82 |          0 |          9 |         91 |
| c:\HAMRANDROID\hamr-android\hamr\components\~handMade\drawerItem.js                         | JavaScript      |         61 |          3 |          8 |         72 |
| c:\HAMRANDROID\hamr-android\hamr\components\~handMade\filterPicker.js                       | JavaScript      |         97 |          0 |         11 |        108 |
| c:\HAMRANDROID\hamr-android\hamr\components\~handMade\fourTable.js                          | JavaScript      |        118 |          4 |         24 |        146 |
| c:\HAMRANDROID\hamr-android\hamr\components\~handMade\input.js                              | JavaScript      |         26 |          0 |          3 |         29 |
| c:\HAMRANDROID\hamr-android\hamr\components\~handMade\item.js                               | JavaScript      |         46 |          2 |         11 |         59 |
| c:\HAMRANDROID\hamr-android\hamr\components\~handMade\numberPicker.js                       | JavaScript      |         68 |          0 |         16 |         84 |
| c:\HAMRANDROID\hamr-android\hamr\components\~handMade\rowInput.js                           | JavaScript      |         53 |          4 |         11 |         68 |
| c:\HAMRANDROID\hamr-android\hamr\components\~handMade\threeTable.js                         | JavaScript      |        120 |          4 |         24 |        148 |
| c:\HAMRANDROID\hamr-android\hamr\config.js                                                  | JavaScript      |         11 |          0 |          3 |         14 |
| c:\HAMRANDROID\hamr-android\hamr\hoc\addHeader.js                                           | JavaScript      |         74 |          2 |          8 |         84 |
| c:\HAMRANDROID\hamr-android\hamr\index.js                                                   | JavaScript      |          4 |          3 |          2 |          9 |
| c:\HAMRANDROID\hamr-android\hamr\ios\hamrTests\hamrTests.m                                  | Objective-C     |         47 |          6 |         16 |         69 |
| c:\HAMRANDROID\hamr-android\hamr\ios\hamr\AppDelegate.h                                     | C               |          5 |          6 |          5 |         16 |
| c:\HAMRANDROID\hamr-android\hamr\ios\hamr\AppDelegate.m                                     | Objective-C     |         24 |          6 |          9 |         39 |
| c:\HAMRANDROID\hamr-android\hamr\ios\hamr\Base.lproj\LaunchScreen.xib                       | XML             |         42 |          0 |          1 |         43 |
| c:\HAMRANDROID\hamr-android\hamr\ios\hamr\Images.xcassets\AppIcon.appiconset\Contents.json  | JSON            |         38 |          0 |          0 |         38 |
| c:\HAMRANDROID\hamr-android\hamr\ios\hamr\Images.xcassets\Contents.json                     | JSON            |          6 |          0 |          1 |          7 |
| c:\HAMRANDROID\hamr-android\hamr\ios\hamr\main.m                                            | Objective-C     |          7 |          6 |          4 |         17 |
| c:\HAMRANDROID\hamr-android\hamr\metro.config.js                                            | JavaScript      |         13 |          6 |          2 |         21 |
| c:\HAMRANDROID\hamr-android\hamr\navigation\nav.js                                          | JavaScript      |        319 |         25 |         61 |        405 |
| c:\HAMRANDROID\hamr-android\hamr\package-lock.json                                          | JSON            |     22,643 |          0 |          1 |     22,644 |
| c:\HAMRANDROID\hamr-android\hamr\package.json                                               | JSON            |         63 |          0 |          1 |         64 |
| c:\HAMRANDROID\hamr-android\hamr\scripts\fixNodeModules.ps1                                 | PowerShell      |          1 |          0 |          0 |          1 |
| c:\HAMRANDROID\hamr-android\hamr\scripts\gclean.bat                                         | Batch           |          3 |          0 |          0 |          3 |
| c:\HAMRANDROID\hamr-android\hamr\scripts\pullArchiveData.ps1                                | PowerShell      |          4 |          0 |          2 |          6 |
| c:\HAMRANDROID\hamr-android\hamr\scripts\pullHamrData.ps1                                   | PowerShell      |          4 |          0 |          2 |          6 |
| c:\HAMRANDROID\hamr-android\hamr\styles\colors.js                                           | JavaScript      |         24 |          1 |          3 |         28 |
| c:\HAMRANDROID\hamr-android\hamr\styles\inventoryStyles.js                                  | JavaScript      |        177 |          6 |          2 |        185 |
| c:\HAMRANDROID\hamr-android\hamr\styles\modalStyles.js                                      | JavaScript      |         64 |          3 |          2 |         69 |
| c:\HAMRANDROID\hamr-android\hamr\styles\orderStyles.js                                      | JavaScript      |        168 |          5 |          3 |        176 |
| c:\HAMRANDROID\hamr-android\hamr\translations\en.json                                       | JSON            |        239 |          0 |         27 |        266 |
| c:\HAMRANDROID\hamr-android\hamr\translations\fr.json                                       | JSON            |        236 |          0 |         25 |        261 |
| c:\HAMRANDROID\hamr-android\hamr\translations\langHelpers.js                                | JavaScript      |         22 |          4 |          5 |         31 |
| Total                                                                                       |                 |     37,718 |        940 |      2,763 |     41,421 |
+---------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
